dt_venda;cd_empresa;cd_mercadoria;qt_vendida
01.07.2018 00:00:00;1;29949;41
01.08.2018 00:00:00;1;29949;35
01.09.2018 00:00:00;1;29949;30
01.10.2018 00:00:00;1;29949;22
01.11.2018 00:00:00;1;29949;19
01.12.2018 00:00:00;1;29949;74
01.01.2019 00:00:00;1;29949;60
01.01.2016 00:00:00;1;61187;944
01.02.2016 00:00:00;1;61187;958
01.03.2016 00:00:00;1;61187;763
01.04.2016 00:00:00;1;61187;1065
01.05.2016 00:00:00;1;61187;550
01.06.2016 00:00:00;1;61187;496
01.07.2016 00:00:00;1;61187;641
01.08.2016 00:00:00;1;61187;778
01.11.2016 00:00:00;1;61187;506
01.12.2016 00:00:00;1;61187;530
01.01.2017 00:00:00;1;61187;563
01.02.2017 00:00:00;1;61187;415
01.03.2017 00:00:00;1;61187;528
01.04.2017 00:00:00;1;61187;412
01.05.2017 00:00:00;1;61187;336
01.06.2017 00:00:00;1;61187;447
01.07.2017 00:00:00;1;61187;404
01.08.2017 00:00:00;1;61187;297
01.09.2017 00:00:00;1;61187;372
01.10.2017 00:00:00;1;61187;592
01.11.2017 00:00:00;1;61187;376
01.12.2017 00:00:00;1;61187;404
01.01.2018 00:00:00;1;61187;509
01.02.2018 00:00:00;1;61187;474
01.03.2018 00:00:00;1;61187;400
01.04.2018 00:00:00;1;61187;406
01.05.2018 00:00:00;1;61187;459
01.06.2018 00:00:00;1;61187;621
01.07.2018 00:00:00;1;61187;356
01.08.2018 00:00:00;1;61187;326
01.09.2018 00:00:00;1;61187;314
01.10.2018 00:00:00;1;61187;341
01.11.2018 00:00:00;1;61187;368
01.12.2018 00:00:00;1;61187;373
01.01.2019 00:00:00;1;61187;208
01.01.2016 00:00:00;1;71093;3251
01.02.2016 00:00:00;1;71093;3952
01.03.2016 00:00:00;1;71093;5861
01.04.2016 00:00:00;1;71093;1325
01.05.2016 00:00:00;1;71093;1991
01.06.2016 00:00:00;1;71093;5294
01.07.2016 00:00:00;1;71093;3003
01.08.2016 00:00:00;1;71093;4712
01.11.2016 00:00:00;1;71093;3984
01.12.2016 00:00:00;1;71093;3002
01.01.2017 00:00:00;1;71093;3577
01.02.2017 00:00:00;1;71093;2930
01.03.2017 00:00:00;1;71093;3741
01.04.2017 00:00:00;1;71093;2828
01.05.2017 00:00:00;1;71093;2404
01.06.2017 00:00:00;1;71093;4910
01.07.2017 00:00:00;1;71093;2401
01.08.2017 00:00:00;1;71093;2086
01.09.2017 00:00:00;1;71093;2398
01.10.2017 00:00:00;1;71093;4572
01.11.2017 00:00:00;1;71093;3318
01.12.2017 00:00:00;1;71093;3770
01.01.2018 00:00:00;1;71093;3427
01.02.2018 00:00:00;1;71093;2800
01.03.2018 00:00:00;1;71093;2421
01.04.2018 00:00:00;1;71093;2585
01.05.2018 00:00:00;1;71093;2947
01.06.2018 00:00:00;1;71093;2930
01.07.2018 00:00:00;1;71093;4648
01.08.2018 00:00:00;1;71093;6943
01.09.2018 00:00:00;1;71093;2036
01.10.2018 00:00:00;1;71093;2808
01.11.2018 00:00:00;1;71093;28
01.12.2018 00:00:00;1;71093;4824
01.01.2019 00:00:00;1;71093;0
01.01.2016 00:00:00;1;82078;236
01.02.2016 00:00:00;1;82078;216
01.03.2016 00:00:00;1;82078;103
01.04.2016 00:00:00;1;82078;335
01.05.2016 00:00:00;1;82078;202
01.06.2016 00:00:00;1;82078;221
01.07.2016 00:00:00;1;82078;132
01.08.2016 00:00:00;1;82078;94
01.11.2016 00:00:00;1;82078;103
01.12.2016 00:00:00;1;82078;73
01.01.2017 00:00:00;1;82078;100
01.02.2017 00:00:00;1;82078;80
01.03.2017 00:00:00;1;82078;188
01.04.2017 00:00:00;1;82078;61
01.05.2017 00:00:00;1;82078;88
01.06.2017 00:00:00;1;82078;87
01.07.2017 00:00:00;1;82078;92
01.08.2017 00:00:00;1;82078;83
01.09.2017 00:00:00;1;82078;88
01.10.2017 00:00:00;1;82078;98
01.11.2017 00:00:00;1;82078;90
01.12.2017 00:00:00;1;82078;105
01.01.2018 00:00:00;1;82078;109
01.02.2018 00:00:00;1;82078;93
01.03.2018 00:00:00;1;82078;105
01.04.2018 00:00:00;1;82078;113
01.05.2018 00:00:00;1;82078;76
01.06.2018 00:00:00;1;82078;77
01.07.2018 00:00:00;1;82078;87
01.08.2018 00:00:00;1;82078;77
01.09.2018 00:00:00;1;82078;58
01.10.2018 00:00:00;1;82078;73
01.11.2018 00:00:00;1;82078;76
01.12.2018 00:00:00;1;82078;89
01.01.2019 00:00:00;1;82078;53
01.01.2016 00:00:00;1;82311;91
01.02.2016 00:00:00;1;82311;134
01.03.2016 00:00:00;1;82311;169
01.04.2016 00:00:00;1;82311;72
01.05.2016 00:00:00;1;82311;289
01.06.2016 00:00:00;1;82311;288
01.07.2016 00:00:00;1;82311;576
01.08.2016 00:00:00;1;82311;59
01.11.2016 00:00:00;1;82311;87
01.12.2016 00:00:00;1;82311;79
01.01.2017 00:00:00;1;82311;60
01.02.2017 00:00:00;1;82311;121
01.03.2017 00:00:00;1;82311;126
01.04.2017 00:00:00;1;82311;5
01.05.2017 00:00:00;1;82311;0
01.06.2017 00:00:00;1;82311;0
01.07.2017 00:00:00;1;82311;0
01.08.2017 00:00:00;1;82311;65
01.09.2017 00:00:00;1;82311;16
01.10.2017 00:00:00;1;82311;281
01.11.2017 00:00:00;1;82311;0
01.12.2017 00:00:00;1;82311;0
01.01.2018 00:00:00;1;82311;0
01.02.2018 00:00:00;1;82311;0
01.03.2018 00:00:00;1;82311;0
01.04.2018 00:00:00;1;82311;0
01.05.2018 00:00:00;1;82311;0
01.06.2018 00:00:00;1;82311;574
01.07.2018 00:00:00;1;82311;274
01.08.2018 00:00:00;1;82311;380
01.09.2018 00:00:00;1;82311;649
01.10.2018 00:00:00;1;82311;0
01.11.2018 00:00:00;1;82311;0
01.12.2018 00:00:00;1;82311;0
01.01.2019 00:00:00;1;82311;0
01.01.2016 00:00:00;1;112043;114
01.02.2016 00:00:00;1;112043;348
01.03.2016 00:00:00;1;112043;259
01.04.2016 00:00:00;1;112043;360
01.05.2016 00:00:00;1;112043;303
01.06.2016 00:00:00;1;112043;257
01.07.2016 00:00:00;1;112043;192
01.08.2016 00:00:00;1;112043;295
01.11.2016 00:00:00;1;112043;156
01.12.2016 00:00:00;1;112043;177
01.01.2017 00:00:00;1;112043;221
