dt_venda,cd_empresa,cd_mercadoria,qt_vendida
2016-05-01,1,120795,0
2016-06-01,1,120795,0
2016-07-01,1,120795,162
2016-08-01,1,120795,261
2016-11-01,1,120795,272
2016-12-01,1,120795,161
2017-01-01,1,120795,387
2017-02-01,1,120795,293
2017-03-01,1,120795,430
2017-04-01,1,120795,846
2017-05-01,1,120795,921
2017-06-01,1,120795,2290
2017-07-01,1,120795,285
2017-08-01,1,120795,849
2017-09-01,1,120795,457
2017-10-01,1,120795,215
2017-11-01,1,120795,570
2017-12-01,1,120795,150
2018-01-01,1,120795,121
2018-02-01,1,120795,92
2018-03-01,1,120795,121
2018-04-01,1,120795,62
2018-05-01,1,120795,221
2018-06-01,1,120795,123
2018-07-01,1,120795,261
2018-08-01,1,120795,236
2018-09-01,1,120795,150
2018-10-01,1,120795,162
2018-11-01,1,120795,31
2016-01-01,1,126652,392
2016-02-01,1,126652,417
2016-03-01,1,126652,3036
2016-04-01,1,126652,662
2016-05-01,1,126652,1205
2016-06-01,1,126652,1115
2016-07-01,1,126652,4363
2016-08-01,1,126652,1165
2016-11-01,1,126652,2593
2016-12-01,1,126652,5123
2017-01-01,1,126652,979
2017-02-01,1,126652,4484
2017-03-01,1,126652,6908
2017-04-01,1,126652,5292
2017-05-01,1,126652,6274
2017-06-01,1,126652,2961
2017-07-01,1,126652,2840
2017-08-01,1,126652,2077
2017-09-01,1,126652,3337
2017-10-01,1,126652,2182
2017-11-01,1,126652,6824
2017-12-01,1,126652,2811
2018-01-01,1,126652,1482
2018-02-01,1,126652,2717
2018-03-01,1,126652,951
2018-04-01,1,126652,4788
2018-05-01,1,126652,3055
2018-06-01,1,126652,4811
2018-07-01,1,126652,2427
2018-08-01,1,126652,4183
2018-09-01,1,126652,5149
2018-10-01,1,126652,3533
2018-11-01,1,126652,485
2016-01-01,1,126660,0
2016-02-01,1,126660,38
2016-03-01,1,126660,13
2016-04-01,1,126660,14
2016-05-01,1,126660,21
2016-06-01,1,126660,36
2016-07-01,1,126660,21
2016-08-01,1,126660,11
2016-11-01,1,126660,16
2016-12-01,1,126660,15
2017-01-01,1,126660,14
2017-02-01,1,126660,8
2017-03-01,1,126660,9
2017-04-01,1,126660,8
2017-05-01,1,126660,21
2017-06-01,1,126660,1
2017-07-01,1,126660,3
2017-08-01,1,126660,12
2017-09-01,1,126660,0
2017-10-01,1,126660,26
2017-11-01,1,126660,9
2017-12-01,1,126660,3
2018-01-01,1,126660,1
2018-02-01,1,126660,3
2018-03-01,1,126660,5
2018-04-01,1,126660,2
2018-05-01,1,126660,0
2018-06-01,1,126660,2
2018-07-01,1,126660,6
2018-08-01,1,126660,1
2018-09-01,1,126660,0
2018-10-01,1,126660,0
2018-11-01,1,126660,0
2016-01-01,1,126686,338
2016-02-01,1,126686,269
2016-03-01,1,126686,434
2016-04-01,1,126686,315
2016-05-01,1,126686,457
2016-06-01,1,126686,449
2016-07-01,1,126686,573
2016-08-01,1,126686,358
2016-11-01,1,126686,338
2016-12-01,1,126686,296
2017-01-01,1,126686,243
2017-02-01,1,126686,208
2017-03-01,1,126686,409
2017-04-01,1,126686,391
2017-05-01,1,126686,373
2017-06-01,1,126686,411
2017-07-01,1,126686,308
2017-08-01,1,126686,365
2017-09-01,1,126686,313
2017-10-01,1,126686,260
2017-11-01,1,126686,228
2017-12-01,1,126686,179
2018-01-01,1,126686,267
2018-02-01,1,126686,218
2018-03-01,1,126686,348
2018-04-01,1,126686,267
2018-05-01,1,126686,265
2018-06-01,1,126686,372
2018-07-01,1,126686,271
2018-08-01,1,126686,216
